threshold_H,route_id,policy,delta,budget,base_tt,base_nl,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.02,0.1,13805.556666666664,94,307.0716666666631,0,2.2242613904014723,0.9479963190596281,4
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.02,0.2,13805.556666666664,94,2140.3383333333295,4,15.503455492679613,1.3503144028887482,30
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.02,0.2,13805.556666666664,94,2140.3383333333295,4,15.503455492679613,1.3503144028887482,30
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.02,0.2,13805.556666666664,94,401.518333333328,1,2.908382059687522,1.788198078594985,7
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.02,0.2,13805.556666666664,94,740.1266666666652,0,5.361078039349847,-0.002770653187296455,15
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.02,0.2,13805.556666666664,94,704.6483333333308,1,5.104092144539851,1.8071675104320253,7
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.02,0.2,13805.556666666664,94,405.48999999999796,1,2.9371506690421856,1.5351370391488235,7
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.05,0.1,13805.556666666664,94,1863.1783333333333,3,13.495858068743821,-0.5088675024400579,15
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.05,0.1,13805.556666666664,94,1863.1783333333333,3,13.495858068743821,-0.5088675024400579,15
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.05,0.1,13805.556666666664,94,284.98666666666395,1,2.0642895722905585,1.2484948653857149,3
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.05,0.1,13805.556666666664,94,70.31666666666752,-1,0.5093359751037507,0.024235226141486793,7
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.05,0.1,13805.556666666664,94,463.899999999996,0,3.3602411782501784,2.2107007615505876,5
